회사명,거래소코드,회계년도,통계청 한국표준산업분류 코드 10차(대분류),부채비율,당좌비율,유동비율,이자보상배율(이자비용),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),이자비용(IFRS)(천원),차입금의존도,자기자본구성비율,당기순이익(손실)(IFRS)(천원),감가상각비(백만원),금융비용(백만원),단기차입금(*)(IFRS)(천원),유동성장기부채(*)(IFRS)(천원),장기차입금(*)(IFRS)(천원),법인세비용차감전(계속사업)손익(백만원),매출액영업이익률,자기자본순이익률,총자본순이익률,매출액(수익)(*)(IFRS)(천원),총자본회전률,자기자본회전률,운전자본회전률,순운전자본회전률,재고자산회전률,당좌자산회전률,유동자산회전률,매출액증가율,총자본증가율,자기자본증가율,순이익증가율,유형자산증가율,유동자산증가율,재고자산증가율,영업이익증가율,총자본투자효율,부가가치율,노동소득분배율,자본분배율,이윤분배율,투자활동으로 인한 현금흐름(*)(IFRS)(천원),재무활동으로 인한 현금흐름(*)(IFRS)(천원),자산(*)(IFRS)(천원),부채(*)(IFRS)(천원),자본(*)(IFRS)(천원),연구개발비(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원)
(주)화성관리공사,059330,2014/12,74,43.33,142.85,142.85,3.5,,,11.51,69.77,,37.82,-9.21,,,,151.23,0.55,3.03,2,,1.97,2.98,0.11,2.53,0,4.39,4.39,-17.67,-7.39,3.07,3,9.79,-19.02,0,-49.68,15.77,7.69,75.97,24.03,13.2,,,,,,,
(주)화성동탄피에프브이,106657,2021/12,41,2267.67,639.03,855.99,-3.57,,,95.3,4.22,,0,21.91,,,,-107.35,0,-4.39,-0.19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0,0,0,,,,,,,
(주)화성동탄피에프브이,106657,2022/12,41,3735,300.83,484.02,-8.71,,,96.62,2.61,,0,-2.19,,,,-172.69,0,-3.59,-0.12,,0,0,0,0,0,0,0,0,56.26,-3.53,0,0,6.66,59.27,0,-0.09,0,0,0,0,,,,,,,
(주)화성비엔텍,085838,2017/12,33,351.52,100.05,105.59,2.29,,,38.83,22.15,,70.71,162.64,,,,323.49,4.11,27.54,6.1,,1.95,8.81,0.01,2.37,87.92,4.87,4.62,0,0,0,0,0,0,0,0,12.96,13.29,48.35,51.65,23.53,,,,,,,
(주)화성비엔텍,085838,2018/12,33,225.76,92.45,103.74,5.11,,,17.09,30.7,,55.04,113.06,,,,636.64,4.88,23.99,6.29,,1.33,5.08,0.03,1.26,28.76,2.7,2.47,30.99,-8.39,26.98,97.69,-90.24,45.07,200.42,55.41,17.07,12.24,41.16,58.84,38.55,,,,,,,
(주)화성산업,088897,2018/12,20,62.36,214.47,231.25,5.64,,,36.31,61.59,,347.46,-85.63,,,,488.53,3.96,9.25,5.7,,1.01,1.64,0,0.8,15.85,1.24,1.15,0,0,0,0,0,0,0,0,8.36,16.51,40.22,59.78,34.07,,,,,,,
(주)화성산업,088897,2019/12,20,128.56,41.02,45.51,1.53,,,30.25,43.75,,246.83,184.64,,,,-1801.85,3.68,-12.81,-6.26,,0.28,0.56,0,0.29,7.61,0.69,0.64,-4.82,150.38,77.86,0,-17.32,-27.85,-1.89,-11.66,-2.03,-10.53,0,0,0,,,,,,,
(주)화성산업,088897,2020/12,20,61.03,61.16,72.79,-1.17,,,36.19,62.1,,188.52,99.34,,,,-11140.14,-3.48,-63.48,-32.41,,0.17,0.33,0,0.23,5.21,0.74,0.65,-26.73,-33.95,-6.26,0,-28.84,-28.24,16.22,0,-38.13,-178.49,0,0,0,,,,,,,
(주)화성산업,088897,2021/12,20,41.66,20.19,32.92,-6.33,,,27.21,70.59,,122.52,96.08,,,,-2712.84,-67.2,-17.36,-11.41,,0.08,0.11,0,0.14,1.83,0.48,0.38,-69.33,-26.08,-15.98,0,-60.34,-74.06,-37.21,0,-9.54,-107.63,0,0,0,,,,,,,
(주)화성스틸,064766,2012/12,46,0,13.06,17.55,-1.48,,,71.54,0,,1070.56,543.05,,,,-756.33,-12.57,0,-6.26,,0.53,0,0.05,0.91,21.63,6.2,4.82,-10.27,-5.33,0,0,-4.51,-19.69,4.67,0,13.75,25.35,16.77,83.23,-46.79,,,,,,,
(주)화성스틸,064766,2013/12,46,5993.52,8.06,11.42,1.02,,,68.53,1.64,,675.66,453.78,,,,448.22,6.72,0,3.75,,0.6,0,0.04,0.75,22.36,8.44,6.13,8.28,-4.91,0,0,-6.72,-8.93,4.78,0,16.56,26.81,9.29,90.71,23.23,,,,,,,
(주)화성스틸,064766,2014/12,46,659.01,11.19,15.17,1.97,,,73.03,13.18,,518.78,355.78,,,,666.03,10.04,76.34,5.5,,0.65,8.98,0.05,0.7,21.86,8.39,6.06,1.22,-6.86,647.72,38.1,-6.62,14.81,2.41,51.24,18.66,27.81,15.07,84.93,30.55,,,,,,,
(주)화성스틸,064766,2015/12,46,479.61,15.01,19.02,2.94,,,69.89,17.25,,397.42,290.65,,,,595.25,10.89,32.29,4.93,,0.75,4.89,0.07,0.83,24.37,7.43,5.69,14.39,5.76,38.5,-11.03,-4.54,27.89,2.77,24.09,16.56,22.82,23.35,76.65,28.96,,,,,,,
(주)화성스틸,064766,2016/12,46,351.6,17.67,23.53,3.66,,,59.85,22.14,,374.92,269.39,,,,996.53,10.81,35.38,7.02,,0.79,3.97,0.09,0.92,22.75,6.86,5.27,14.55,11.41,42.99,54.63,1.72,20.37,42.1,13.64,17.94,24.05,21.77,78.23,37.1,,,,,,,
(주)화성스틸,064766,2017/12,46,437.07,19.33,24.03,3.12,,,66.78,18.62,,483.46,301.58,,,,1062.03,10.21,27.35,5.47,,0.6,3.01,0.15,0.87,20.69,5.83,4.55,3.35,56.61,31.69,5.41,78.14,19.23,-6.32,-2.31,12.85,26.1,20.81,79.19,34.86,,,,,,,
(주)화성스틸,064766,2018/12,46,418.54,14.99,22.79,1.29,,,63.55,19.28,,755.27,529.37,,,,177.92,7.21,4.34,0.82,,0.49,2.6,0.14,0.84,16.69,6.02,4.43,0.39,0.83,4.44,-81.56,2.43,-10.2,57.26,-29.12,11.47,23.4,28.17,71.83,7.14,,,,,,,
(주)화성스틸,064766,2019/12,46,227.39,17.65,25.45,0.95,,,52.94,30.54,,614.7,453.7,,,,1726.82,4.39,30.27,7.41,,0.55,2.23,0.32,0.83,13.19,6.27,4.25,3.35,-14.34,35.67,739.69,-23.04,27.37,13.89,-37.13,21.25,35.92,16.92,83.08,37.79,,,,,,,
(주)화성스틸,064766,2020/12,46,304.37,10.12,19.3,1.11,,,63.88,24.73,,467.67,355.7,,,,78.33,4.55,1.27,0.35,,0.49,1.79,0.23,0.62,8.83,5.71,3.47,-6.93,25.1,1.28,-95.13,38.41,3.77,61.13,-3.44,8.45,19.19,39.9,60.1,3.7,,,,,,,
(주)화성스틸,064766,2021/12,46,146.29,56.88,81.1,0.91,,,48.02,40.6,,513.14,248.98,,,,3866.21,2.33,47.68,15.5,,0.52,1.59,0.28,0.65,6.18,3.28,2.14,15.31,-4.08,57.48,4752.41,-31.92,166.24,67.15,-40.96,28.43,53.74,14.54,85.46,55.66,,,,,,,
(주)화성스틸,064766,2022/12,46,170.72,50.58,65.82,2.33,,,56.4,36.94,,508.33,172.53,,,,550.54,5.18,5.54,2.14,,0.55,1.41,6.58,0.63,5.68,2.03,1.49,7.81,9.19,-0.66,-85.83,12.67,12.85,-12.51,139.51,10.15,19.43,38.29,61.71,20.24,,,,,,,
(주)화성써모,051548,2012/12,29,32.72,199.12,360.41,38.52,,,7.62,75.35,,358.21,56.62,,,,2605.15,10.19,18.68,13.73,,1.66,2.26,0,1.61,4.66,3.85,2.11,0.18,14.1,20.27,-20.94,-2.36,17.5,14.77,-12.75,25.68,16.45,29.07,70.93,50.18,,,,,,,
(주)화성써모,051548,2013/12,29,39.94,118.78,215.61,36.74,,,15.46,71.46,,349.56,42.03,,,,2252.39,8.19,11.98,8.74,,1.25,1.71,0,1.38,4.24,3.45,1.9,3.74,59.32,51.1,-12.04,273.47,12.67,13.06,-16.59,14.69,14.45,31.53,68.47,48.42,,,,,,,
(주)화성써모,051548,2014/12,29,36.46,133.37,237.11,18.06,,,12.43,73.28,,696.98,110.67,,,,2297.77,7.21,8.9,6.44,,1.11,1.53,1.29,1.36,4.42,3.52,1.96,12.45,6.59,9.31,-6.45,6.83,6.17,3.44,-1.08,16.18,15.09,31.62,68.38,38.59,,,,,,,
(주)화성써모,051548,2015/12,29,32.69,173.04,281.92,23,,,11.5,75.37,,818.11,94.63,,,,2986.66,9.13,10.54,7.84,,0.94,1.26,1.02,1.15,3.89,2.7,1.59,-8.81,8.06,11.13,30.65,-3.19,17.56,3.77,15.49,16.97,18.76,24.72,75.28,44.48,,,,,,,
(주)화성써모,051548,2016/12,29,23.44,224.18,330.62,21.88,,,9.57,81.01,,786.67,97.12,,,,2996.47,8.74,8.64,6.78,,0.8,1.02,0,1.05,3.94,2.15,1.39,-2.61,20.14,29.13,-1.21,41.71,6.68,-11.08,-6.68,14.03,19.13,24.81,75.19,44.24,,,,,,,
(주)화성써모,051548,2017/12,29,22.95,234.97,353.41,20.34,,,9.21,81.34,,814.85,98.64,,,,1610.8,7.61,4.25,3.45,,0.77,0.94,0,1.06,4.16,2.04,1.37,6.41,3.92,4.34,-43.36,-2.3,9.47,13.96,-7.43,10.26,13.66,34.87,65.13,32.99,,,,,,,
(주)화성써모,051548,2018/12,29,23.25,266.97,393.14,19.13,,,8.58,81.14,,767.06,111.74,,,,2944.59,7.81,6.89,5.6,,0.74,0.91,0,0.98,3.8,1.85,1.25,1.7,7.4,7.14,71.55,-2.03,13.8,8.98,4.47,12.9,18.13,27.71,72.29,41.91,,,,,,,
(주)화성써모,051548,2019/12,29,20.75,294.46,440.26,23.04,,,7.82,82.82,,662.98,85.95,,,,3719.64,10.92,8.1,6.64,,0.63,0.76,0,0.83,3.15,1.53,1.03,-7.75,9.75,12.02,28.83,3.98,9.73,13.23,28.88,12.97,21.69,23.63,76.37,48.92,,,,,,,
(주)화성써모,051548,2020/12,29,12.99,495.32,730.51,47.49,,,1.99,88.5,,685.6,-5.81,,,,2395.02,11.24,5.06,4.34,,0.56,0.65,0,0.78,2.81,1.36,0.92,-7.81,-1.57,5.19,-32.19,1.07,-2.61,-5.32,-5.04,9.84,17.57,29.13,70.87,44.44,,,,,,,
(주)화성써모,051548,2021/12,29,15.25,445.28,653.71,58.71,,,1.84,86.77,,753.01,16.36,,,,2975.99,5.38,5.68,4.98,,0.59,0.67,0,0.82,2.95,1.39,0.94,9.2,7.96,5.85,18.37,-2.3,15.46,14.33,-47.78,10.52,18.58,25.36,74.64,45.54,,,,,,,
(주)화성써모,051548,2022/12,29,12.92,499.66,736.2,81.4,,,1.65,88.56,,669.51,-28.09,,,,3515.51,8.7,5.98,5.25,,0.56,0.64,0,0.77,2.74,1.29,0.88,4.18,11.77,14.08,15.9,17.33,9.01,9.86,68.63,10.33,19.57,24.71,75.29,48.09,,,,,,,
(주)화성알텍,087570,2017/12,24,524.54,202.48,272.07,2.18,,,77.06,16.01,,363,232.85,,,,292.52,4.54,37.37,5.98,,2.58,16.1,0,4.87,26.03,8.95,6.66,0,0,0,0,0,0,0,0,14,10.86,29.48,70.52,21.37,,,,,,,
(주)화성알텍,087570,2018/12,24,404.12,296.98,448.19,2.62,,,75.35,19.84,,517,251.08,,,,437.11,4.56,21.58,3.87,,1.69,9.41,0,3.14,13.54,5.79,4.06,30.98,0.25,24.19,29.46,-9.01,15.04,51.74,31.4,17.14,10.18,19.92,80.08,22.55,,,,,,,
(주)화성알텍,087570,2019/12,24,253.59,103.74,125.31,3.43,,,63.81,28.28,,403.56,241.09,,,,694.94,4.47,20.7,5.12,,1.94,7.84,0,2.63,17.34,5.41,4.12,36.9,37.87,96.56,57.57,25.2,51.65,-22.62,34.35,14.99,8.96,29.1,70.9,29.46,,,,,,,
(주)화성알텍,087570,2020/12,24,236.43,120.13,137.9,3.52,,,61.31,29.72,,387.91,167.96,,,,716.67,3.2,14.44,4.19,,1.97,6.78,0,2.16,25.63,4.46,3.8,23.64,9.96,15.57,-0.31,-3.3,22.65,-8.19,-11.41,14.1,7.5,34.06,65.94,28.39,,,,,,,
(주)화성알텍,087570,2021/12,24,226.15,70.61,100.33,3.69,,,60.43,30.66,,365.43,157.46,,,,727.7,3.47,12.7,3.84,,1.65,5.46,0,1.53,12.98,3.68,2.87,-7.84,10.09,13.56,0.63,-5.25,21.83,180.1,-0.26,12.95,8.23,35.62,64.38,28.26,,,,,,,
(주)화성알텍,087570,2022/12,24,212.62,270.82,363.24,2.42,,,60.18,31.99,,252.63,334.48,,,,636.73,4.56,9.86,3.09,,1.35,4.31,0,1.34,7.88,2.97,2.16,-11.8,5.79,10.37,-13.13,-3.5,13.18,-2.8,15.89,12.04,9.17,35.59,64.41,24.97,,,,,,,
(주)화성여객,076952,2015/12,49,2177.85,11.41,11.57,-33.7,,,62.86,4.39,,1061.86,48.71,,,,-1655.69,-63.38,-958.03,-42.06,,0.66,15,0,0.86,587.94,8.43,8.31,0,0,0,0,0,0,0,0,-5.84,-17.72,0,0,0,,,,,,,
(주)화성여객,076952,2016/12,49,483.1,17.43,20.53,-18.71,,,53.59,17.15,,2574.03,144.56,,,,-2514.12,-24.98,-361.13,-35.13,,1.6,16.46,0,2.29,223.66,19.49,17.93,317.86,-28.11,180.85,0,-34.42,-6.33,898.47,0,5.89,3.08,34.12,65.88,-712.8,,,,,,,
(주)화성여객,076952,2019/12,49,811.92,34.91,35.2,14.57,,,48.51,10.97,,1413.8,99.85,,,,2155.05,5.13,249.54,27.36,,4.28,39.02,0,5.77,2678.51,22.33,22.15,0,0,0,0,0,0,0,0,31.14,14.56,15.06,84.94,43.93,,,,,,,
(주)화성여객,076952,2020/12,49,0,23.26,23.49,-18.41,,,58.97,0,,2078.8,146.88,,,,-2490.61,-9.39,0,-19.62,,2.42,0,0,2.97,1475.59,13.46,13.34,10.39,-4.96,0,0,-0.61,-16.72,0.39,0,8.69,3.5,121.21,-21.21,-231.66,,,,,,,
(주)화성여객,076952,2021/12,49,0,37.56,38.49,-3.36,,,29.84,0,,2127.61,132.37,,,,115.71,-1.33,0,0.16,,3.08,0,0,3.35,740.91,14.34,14.07,31.8,12.63,0,0,1.67,75.06,323.98,0,26.83,9.23,39.87,60.13,0.58,,,,,,,
(주)화성여객,076952,2022/12,49,0,29.56,29.96,-1.21,,,20.79,0,,2244,153.3,,,,-18.91,-0.5,0,-0.17,,3.26,0,0,3.65,737.53,14.6,14.32,14.16,3.71,0,0,15.83,-23.76,-58.27,0,27.33,8.54,42.98,57.02,-0.6,,,,,,,
(주)화성장안택지개발,099607,2020/12,68,6715.92,101.53,101.53,999999999,,,60.94,1.47,,0,-49.6,,,,-1718.5,0,-6845.3,-100.43,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-34.05,0,0,0,0,,,,,,,
(주)화성장안택지개발,099607,2021/12,68,0,76.47,76.47,999999999,,,0,0,,0,-50.68,,,,-27.6,0,0,-31.05,,0,0,0,0,0,0,0,0,-8.33,0,0,0,-8.33,0,0,-0.98,0,0,0,0,,,,,,,
(주)화성전선,020468,2012/12,28,256.83,60.56,86.66,-0.58,,,45.07,28.02,,902.07,513.98,,,,3055.96,-0.42,23.88,6.31,,2.19,8.29,0.08,1.7,16.67,5.01,3.85,-22.07,-15.64,-5.74,186.52,-37.51,-1.59,82.57,0,15.62,6.52,16.8,83.2,44.15,,,,,,,
(주)화성전선,020468,2013/12,28,188.09,62.06,98.45,-8.49,,,40.04,34.71,,703.76,208.22,,,,-2608.78,-2.53,-22.24,-6.81,,3.23,10.55,0.1,2.49,15.95,7.79,5.23,11.09,-35.43,-20.03,0,-20.31,-35.12,-20.37,0,-3.27,-0.79,0,0,0,,,,,,,
(주)화성전선,020468,2014/12,28,168.15,65.69,92.01,-2.27,,,38.18,37.29,,579.98,164.42,,,,41.62,-0.51,0.53,0.19,,3.75,10.43,0.11,3.11,19.22,9.53,6.37,-11.82,-6.38,0.58,0,-9.09,-15.87,-34.88,0,7.98,2.06,52.65,47.35,2.49,,,,,,,
(주)화성전선,020468,2015/12,28,219.04,56.31,87.34,-9.7,,,36.88,31.34,,529.12,-24.83,,,,-1363.6,-2,-20.43,-7.02,,3.48,10.12,0.08,2.91,19.22,9.07,6.16,-11.75,-3.12,-18.58,0,-7.79,-0.29,23.79,0,-0.5,-0.14,0,0,0,,,,,,,
(주)화성전선,020468,2016/12,28,256.12,60.94,88.57,-1.21,,,36.94,28.08,,422.35,19.88,,,,65.35,-0.23,0.81,0.24,,3.34,11.27,0.08,2.65,17.04,8.46,5.65,0.35,12.52,0.81,0,-6.38,19.09,4.59,0,5.57,1.77,59.77,40.23,4.05,,,,,,,
(주)화성전선,020468,2017/12,28,199.76,91.32,115.76,2.62,,,10.73,33.36,,381.7,-34.64,,,,364.44,0.44,5.03,1.55,,3.21,10.41,0.05,2.43,18.83,6.47,4.82,4.81,6.03,25.96,606.98,23.19,26.37,-14.49,0,5.45,1.75,45.82,54.18,27.58,,,,,,,
(주)화성전선,020468,2018/12,28,84.83,69.5,145.9,4.83,,,16.95,54.1,,311.83,85.59,,,,215.44,0.96,2.63,1.09,,2.55,6.15,0.08,2.11,12.01,5.57,3.81,-33.25,-36.7,2.67,-40.89,-3.61,-48.75,27.12,44.63,7.28,2.22,44.76,55.24,19.29,,,,,,,
(주)화성전선,020468,2019/12,28,79.04,83.46,156.65,2.6,,,19.76,55.85,,277.46,81.54,,,,179.48,0.45,2.14,1.18,,3.54,6.43,0.17,3.63,12.17,11.95,6.03,7.12,-1.04,2.16,-16.69,-1.58,-0.39,-11.12,-49.5,6.66,1.87,46.42,53.58,17.74,,,,,,,
(주)화성전선,020468,2020/12,28,86.14,87.12,162.06,2.47,,,26.82,53.72,,335.32,80.8,,,,134.96,0.48,1.58,0.86,,3.35,6.11,5.16,3.43,12.01,10.43,5.58,-3.25,5.62,1.59,-24.81,-1.94,9.41,8.3,2.88,6.13,1.88,43.62,56.38,13.73,,,,,,,
(주)화성전선,020468,2021/12,28,105.69,112.83,163.7,4.25,,,28.49,48.62,,287.67,73.12,,,,430.99,0.66,4.88,2.49,,3.77,7.4,0.47,3.64,15.57,9.44,5.88,25.08,16.03,5,219.35,0.6,27.38,-14.39,71.16,6.99,1.99,38.81,61.19,33.14,,,,,,,
(주)화성전선,020468,2022/12,28,106.19,135.26,215.88,8.84,,,25.14,48.5,,273.03,121.33,,,,1390.5,1.82,14.11,6.85,,4.1,8.44,0.17,3.81,16.83,8.89,5.82,25.69,15.46,15.18,218.6,0.17,26.6,52.12,248.12,10.68,2.79,22.07,77.93,59.84,,,,,,,
(주)화성테크윈,064036,2012/12,29,466.5,87.45,110.14,2.08,,,63.19,17.65,,350.46,340.52,,,,369.37,8.02,20.59,3.43,,1,5.98,0.12,1.25,8.8,3.56,2.54,3.98,8.44,22.95,-17.79,9.62,6.42,-41.62,3.68,14.69,15.34,17.23,82.77,22.43,,,,,,,
(주)화성테크윈,064036,2013/12,29,357.5,93.15,122.8,1.82,,,67.54,21.86,,267.88,289.89,,,,316.08,8.22,14.68,2.89,,0.79,4.02,0.11,1.16,9.71,2.77,2.16,-19.93,-6.44,15.85,-15.11,0.51,-17.31,-3.12,-18,13.61,16.61,18.81,81.19,21.97,,,,,,,
(주)화성테크윈,064036,2019/12,29,204.98,123.43,218.65,4.13,,,50.93,32.79,,67.97,240.49,,,,916.97,9.19,48.81,16,,2.05,6.26,0.09,3.53,11.8,9.11,5.14,0,0,0,0,0,0,0,0,16.54,16.1,28.31,71.69,48.39,,,,,,,
(주)화성테크윈,064036,2020/12,29,184.16,51.92,73.61,0.36,,,49.27,35.19,,85.97,139.14,,,,350.3,0.81,8.17,2.78,,0.76,2.23,0.31,0.91,4.89,2.77,1.77,-27.22,-3.1,4,-65.83,-21.84,11.74,-24.4,-93.55,13.03,16.89,54.38,45.62,21.65,,,,,,,
(주)화성테크윈,064036,2021/12,29,196.56,72.43,103.14,5.18,,,55.41,33.72,,127.84,154.87,,,,749.22,8.83,18.42,6.34,,0.81,2.35,0.19,1.17,8.8,3.7,2.6,15.49,20.74,15.69,147.82,39.11,-51.45,-50.94,1151.46,13.72,18.6,36.89,63.11,42.2,,,,,,,
(주)화성테크윈,064036,2022/12,29,298.95,23.38,31.79,-0.3,,,66.51,25.07,,211.25,244.1,,,,-316.67,-1.53,-9.25,-2.75,,0.41,1.39,0.2,0.75,7.92,3.12,2.24,-47.71,-13.04,-35.36,0,-2.2,-13.74,-23.37,0,6.66,15.01,73.21,26.79,-44.34,,,,,,,
(주)화성프린원,020466,2014/12,18,138.49,63.81,71.81,0.2,,,37.9,41.93,,701.47,107.92,,,,480.62,0.13,7.26,3.04,,1.89,4.5,0.05,2.25,48.24,6.05,5.38,0,0,0,0,0,0,0,0,19.28,10.21,44.84,55.16,15.78,,,,,,,
(주)화송,039460,2012/12,55,0,0.93,0.93,11.22,,,88.51,0,,204.75,17.6,,,,215.67,17.07,0,1.72,,0.12,0,0,0.13,0,2.43,2.43,27.63,-1.05,0,18.45,7.96,-90.96,0,52.88,9.15,74.87,43.57,56.43,18.89,,,,,,,
(주)화송,039460,2013/12,55,6007.85,0.79,0.79,17.86,,,85.42,1.64,,191.32,24.6,,,,455.19,29.89,2413.41,3.33,,0.13,92.17,0,0.15,0,17.85,17.85,15.98,22.69,0,114.69,22.96,-9.26,0,103.05,9.53,82.51,36.94,63.06,31.74,,,,,,,
(주)화송,039460,2014/12,55,3103.6,0.85,0.85,3.63,,,84.58,3.12,,214.63,92.74,,,,253.85,22.66,65.92,1.58,,0.11,4.66,0,0.14,0,17,17,-1.41,4.02,98.32,-46.77,3.93,17.68,0,-25.27,8.58,78.42,40.35,59.65,18.03,,,,,,,
(주)화송,039460,2015/12,55,3238.45,0.77,0.77,0.49,,,83.91,3,,299.26,79.56,,,,-26.44,3.44,-6.44,-0.2,,0.08,2.77,0,0.1,0,12.72,12.72,-23.48,-2.29,-6.24,0,-2.23,-10.87,0,-88.39,6.79,79.2,45.06,54.94,-2.93,,,,,,,
(주)화송,039460,2016/12,55,2811.85,0.47,0.47,1.98,,,82.81,3.43,,258.17,46.62,,,,55.93,8.48,11.53,0.37,,0.08,2.58,0,0.1,0,16.07,16.07,-4.34,-2.11,12.23,0,-1.87,-39.37,0,136.03,6.77,80.76,42.89,57.11,5.53,,,,,,,
(주)화송,039460,2017/12,55,3600.47,0.74,0.74,-3.16,,,85.84,2.7,,223.59,15.67,,,,-104.68,-5.78,-25.33,-0.78,,0.07,2.17,0,0.08,0,12.95,12.95,-21.14,-1.49,-22.48,0,-1.73,59.22,0,0,4.82,71.83,54.45,45.55,-16.27,,,,,,,
(주)화송,039460,2018/12,55,3066.99,0.63,0.63,2.15,,,85.1,3.16,,208.68,28.49,,,,51.25,6.89,13.8,0.4,,0.07,2.39,0,0.08,0,11.9,11.9,3.53,-1.74,14.82,0,-1.64,-16.53,0,0,5.63,79.7,36.58,63.42,7.24,,,,,,,
